id,name,category,council,town,latitude,longitude,description,tags,website,phone,google_rating,tripadvisor_rating
farmshop-edinburgh,Farmshop Edinburgh,farm,edinburgh,Edinburgh,55.9005478,-3.1768727,Farm shop selling fresh local produce including fruit and veg pies bread chocolate meat and vegan options,farm-shop local-produce fresh-produce,,+44 7491 280369,4.5,
craigies-farming-deli-and-cafe,Craigies Farming Deli and Cafe,farm,edinburgh,South Queensferry,55.972747,-3.3514436,Working farm with deli cafe and pick-your-own fruit. Features seasonal events and fresh farm products,farm cafe deli pick-your-own,,+44 131 319 1048,4.3,
lannan-bakery,Lannan Bakery,bakery,edinburgh,Edinburgh,55.9597946,-3.2067364,Award-winning artisan bakery featuring French-inspired pastries and baked goods. Named Best New Bakery in the World,artisan bakery pastries french-style,,,4.4,
greek-artisan-pastries,Greek Artisan Pastries,bakery,edinburgh,Edinburgh,55.9459245,-3.2044197,Greek bakery specializing in traditional pastries bougatsa and authentic Mediterranean baked goods,greek bakery mediterranean pastries,,+44 131 466 1691,4.8,
the-wee-boulangerie,The Wee Boulangerie,bakery,edinburgh,Edinburgh,55.9416981,-3.1818416,French-style artisan bakery specializing in sourdough bread croissants and traditional boulangerie items,french bakery sourdough artisan,,+44 131 629 3134,4.7,
boxwood-tam-bakery,Boxwood Tam Bakery,bakery,edinburgh,Edinburgh,55.9733908,-3.1674415,Small artisan bakery making fresh croissants pain au chocolat and focaccia. All baked fresh daily,artisan bakery croissants fresh-baked,,,5.0,
kvasa-bakery,KVASA Bakery,bakery,edinburgh,Edinburgh,55.9689049,-3.1729026,Artisan sourdough bakery using traditional methods. True sourdough mastery with limited opening hours,sourdough artisan european-style,,+44 7432 591524,4.8,
sugar-daddys-bakery,Sugar Daddy's Bakery,bakery,edinburgh,Edinburgh,55.9382411,-3.1923275,100% gluten-free bakery featuring cakes pastries and custom celebration cakes,gluten-free bakery cakes custom-cakes,,+44 131 228 3791,4.8,
tasty-buns,Tasty Buns,bakery,edinburgh,Edinburgh,55.9459076,-3.2025921,Independent bakery known for creative cakes brownies and cinnamon buns. Everything made in-house,bakery cakes brownies home-made,,,4.8,
the-pastry-section,The Pastry Section,cafe,edinburgh,Edinburgh,55.9592812,-3.2132623,Cafe and bakery with daily-changing creative pastries cakes and desserts. Features log fire and cozy atmosphere,cafe bakery pastries desserts,,+44 131 332 9779,4.7,
mòr-bakehouse,Mòr Bakehouse,bakery,edinburgh,Edinburgh,55.951201,-3.2024426,Traditional Scottish bakery famous for award-winning Cornish pasties steak bakes and artisan breads,scottish bakery pasties traditional,,,4.2,
langelou,L'Angelou,bakery,edinburgh,Edinburgh,55.955141,-3.1404321,French patisserie offering authentic French pastries breads and desserts. Small intimate setting,french patisserie authentic artisan,,+44 7548 956821,4.9,
welch-fishmongers,Welch Fishmongers,seafood,edinburgh,Edinburgh,55.9816913,-3.1948008,Traditional fishmonger in Newhaven offering fresh Scottish seafood including live lobster and shellfish,fishmonger scottish-seafood fresh-fish,,+44 131 552 5883,4.8,
eddies-seafood-market,Eddie's Seafood Market,seafood,edinburgh,Edinburgh,55.938233,-3.192268,Independent seafood market with sashimi-grade fish and diverse selection of fresh Scottish seafood,seafood-market sashimi fresh-fish,,+44 131 229 4207,4.6,
j-r-gowans-fishmongers,J R Gowans Fishmongers,seafood,edinburgh,Edinburgh,55.9658323,-3.2434908,Traditional fishmonger with mobile van service. Fresh fish at great prices with excellent service,fishmonger mobile-service fresh,,+44 131 315 2186,5.0,
something-fishy,Something Fishy,seafood,edinburgh,Edinburgh,55.957167,-3.188449,Independent fishmonger specializing in fresh Scottish fish. Known for exceptional smoked salmon,fishmonger scottish-fish smoked-salmon,,+44 131 556 7614,4.9,
sheilas-quality-fresh-seafood,Sheila's Quality Fresh Seafood,seafood,edinburgh,Edinburgh,55.9362136,-3.1941215,Fresh seafood shop offering sashimi-grade fish and Scottish seafood. Family-run business,seafood-shop sashimi-grade scottish,,+44 131 315 2186,4.9,
g-armstrong,G. Armstrong,seafood,edinburgh,Edinburgh,55.9592568,-3.2131621,Quality fishmonger with excellent sashimi-grade salmon and wide selection of fresh fish,fishmonger sashimi quality,,+44 131 315 2033,4.5,
eden-seafood,Eden Seafood,seafood,edinburgh,Edinburgh,55.9620268,-3.1955129,Hong Kong-owned fishmonger offering fresh Scottish seafood with expert preparation service,fishmonger scottish-seafood fresh,,+44 7774 356838,4.8,
j-williamson-fishmongers,J Williamson Fishmongers,seafood,edinburgh,Edinburgh,55.9531823,-3.1146028,Traditional Portobello fishmonger with fresh fish and homemade fish cakes. Long-standing local business,fishmonger traditional fish-cakes,,+44 131 669 2872,4.8,
george-hughes,George Hughes,seafood,edinburgh,Edinburgh,55.9350337,-3.2098962,Quality fishmonger in Bruntsfield offering fresh Scottish fish and seafood,fishmonger scottish-fish fresh,,+44 131 447 1183,4.7,
the-coffee-cave,The Coffee Cave,cafe,edinburgh,Edinburgh,55.9428979,-3.2112044,Independent coffee shop serving specialty coffee and pastries. Friendly atmosphere and outdoor seating,coffee-shop independent specialty-coffee,,+44 7905 747223,4.9,
books-n-cup-cafe,Books N' Cup Cafe,cafe,edinburgh,Edinburgh,55.9431442,-3.2034773,Cozy bookshop cafe with specialty coffee homemade food and literary atmosphere,cafe bookshop cozy independent,,+44 7392 072241,4.9,
room-rumours-coffee,Room Rumours Coffee,cafe,edinburgh,Edinburgh,55.9514114,-3.1851311,Specialty coffee roastery and cafe under historic arches. Rotating European roasters and fresh pastries,coffee-roastery specialty-coffee european,,,4.8,
black-medicine-coffee-co,Black Medicine Coffee Co,cafe,edinburgh,Edinburgh,55.9471735,-3.1858925,Independent coffee shop with two locations offering specialty coffee and relaxed atmosphere,coffee-shop independent specialty,,,4.5,
the-castle-rock-cafe,The Castle Rock Cafe,cafe,edinburgh,Edinburgh,55.9496038,-3.1932602,Historic cafe in courtyard near Royal Mile. Independent with charming old Edinburgh atmosphere,cafe historic independent courtyard,,+44 7413 131404,4.8,
haymarket-cafe-by-lg,Haymarket Cafe by L&G,cafe,edinburgh,Edinburgh,55.9460218,-3.2203664,Independent breakfast and brunch cafe near Haymarket. Known for fresh homemade food,cafe breakfast brunch independent,,+44 7470 258720,5.0,
the-edinburgh-larder-blackfriars-street,The Edinburgh Larder - Blackfriars Street,cafe,edinburgh,Edinburgh,55.950062,-3.1859317,Scottish cafe celebrating local farmers and producers. Focus on seasonal Scottish ingredients,cafe scottish-produce local seasonal,,+44 131 556 6922,4.6,
old-woods-cafe,Old Woods Cafe,cafe,edinburgh,Edinburgh,55.9417624,-3.1787675,Neighborhood cafe serving full Scottish breakfast and fresh homemade food,cafe scottish-breakfast homemade,,+44 7365 574090,4.8,
urban-jungle-brunch-room,Urban Jungle Brunch Room,cafe,edinburgh,Edinburgh,55.9672346,-3.1743505,Plant-filled brunch cafe in Leith. Known for generous portions and friendly service,cafe brunch independent leith,,,4.7,
the-cobbled-roastery,The Cobbled Roastery,cafe,edinburgh,Edinburgh,55.9539277,-3.1991119,In-house coffee roastery and cafe. Roasting beans on-site with passionate service,coffee-roastery cafe in-house specialty,,,4.9,
mellis-cheese-stockbridge,Mellis Cheese Stockbridge,cheese,edinburgh,Edinburgh,55.957598,-3.2076720,Independent cheesemonger with excellent selection of Scottish and artisan cheeses,cheese-shop scottish-cheese artisan,,+44 131 225 6566,4.8,
mellis-cheese-morningside,Mellis Cheese Morningside,cheese,edinburgh,Edinburgh,55.9273018,-3.2094537,Cheese shop with cheese lounge for tastings. Wide selection of Scottish and European cheeses,cheese-shop cheese-lounge scottish,,+44 131 447 8889,4.7,
mellis-cheese-victoria-street,Mellis Cheese Victoria Street,cheese,edinburgh,Edinburgh,55.9486373,-3.194115,Historic cheese shop on Victoria Street. Excellent Scottish cheese selection and scotch eggs,cheese-shop scottish historic,,+44 131 226 6215,4.8,
valvona-crolla,Valvona & Crolla,deli,edinburgh,Edinburgh,55.958882,-3.183184,Historic Italian deli and cafe. Family-run since 1934 with restaurant and extensive Italian products,italian-deli historic family-run restaurant,,+44 131 556 6066,4.6,
181-delicatessen,181 Delicatessen,deli,edinburgh,Edinburgh,55.9355079,-3.2097591,Local deli specializing in Scottish produce including smoked salmon cheese and scotch eggs,deli scottish-produce local,,+44 131 229 4554,4.9,
the-broughton-market,The Broughton Market,deli,edinburgh,Edinburgh,55.9588087,-3.1899139,Local grocery and deli with quality meats cheese and fresh produce. Family-run,grocery deli local quality,,+44 131 557 0111,4.8,
george-mewes-cheese,George Mewes Cheese,cheese,edinburgh,Edinburgh,55.9590797,-3.2149104,Independent cheesemonger in Stockbridge. Wide selection and knowledgeable staff,cheese-shop independent artisan,,+44 131 332 5900,4.8,
unknown-italy,UnKnown Italy,deli,edinburgh,Edinburgh,55.9575444,-3.2071123,Specialty Italian grocery with authentic imported products. Daily-made sandwiches and cannoli,italian-deli authentic imported,,+44 7376 265499,4.6,
herbie-of-edinburgh,Herbie of Edinburgh,deli,edinburgh,Edinburgh,55.959229,-3.212757,Independent deli and wine shop. Excellent cheese pate and Scottish produce,deli wine-shop scottish cheese,,+44 131 332 9888,4.7,
lupe-pintos-deli,Lupe Pinto's Deli,deli,edinburgh,Edinburgh,55.9412783,-3.2033377,Mexican and Latin American specialty deli. Authentic ingredients and homemade salsa,mexican-deli latin-american specialty,,+44 131 228 6241,4.7,
saundersons-quality-family-butcher,Saunderson's Quality Family Butcher,butcher,edinburgh,Edinburgh,55.9410084,-3.2033727,Traditional family butcher with quality Scottish meats and famous steak pies,butcher scottish-meat traditional family-run,,+44 131 229 8348,4.7,
crombies-of-edinburgh,Crombies of Edinburgh,butcher,edinburgh,Edinburgh,55.9587018,-3.1898544,Traditional butcher and grocery with quality Scottish meats and game,butcher scottish-meat game traditional,,+44 131 557 0111,4.6,
john-bain-son,John Bain & Son,butcher,edinburgh,Edinburgh,55.9321954,-3.2597333,Legendary butcher known for best steak and gravy pies in central Scotland,butcher scottish pies traditional,,+44 131 443 3177,4.9,
james-anderson-butchers,James Anderson Butchers,butcher,edinburgh,Edinburgh,55.9712294,-3.1732685,Traditional Leith butcher with quality Scottish meats. Family-run business,butcher scottish-meat traditional leith,,+44 131 554 5104,4.6,
george-bower-butchers,George Bower Butchers,butcher,edinburgh,Edinburgh,55.959007,-3.2133128,Quality butcher in Stockbridge. Excellent sausages bacon and game meats,butcher scottish-meat quality game,,+44 131 332 3469,4.4,
brash-family-butcher-ltd,Brash Family Butcher Ltd,butcher,edinburgh,Edinburgh,55.9447872,-3.2502519,Family butcher specializing in South African biltong and droewors. Scottish meats also available,butcher south-african biltong scottish,,+44 131 337 3730,4.9,
mathiesons-butchers,Mathiesons Butchers,butcher,edinburgh,Edinburgh,55.9333672,-3.1779817,Local butcher in Newington. Quality fresh meat and excellent steak pies,butcher scottish-meat local pies,,+44 131 667 2143,4.4,
